,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Oriximina,BR,-1.7656,-55.8661,75.92,85,100,2.64,overcast clouds
79,Bondo,CD,3.8146,23.6866,65.77,88,9,1.59,clear sky
80,Cape Town,ZA,-33.9258,18.4232,72.91,75,0,17.27,clear sky
81,Victoria,HK,22.2855,114.1577,62.26,87,100,5.99,overcast clouds
82,Pevek,RU,69.7008,170.3133,-35.21,99,47,5.77,scattered clouds
83,Avera,US,33.194,-82.5271,53.11,98,100,11.03,moderate rain
84,North Bend,US,43.4065,-124.2243,39.92,92,0,5.75,clear sky
85,Hilo,US,19.7297,-155.09,74.28,89,100,3.44,overcast clouds
86,Novyy Nekouz,RU,57.9029,38.07,11.86,93,84,10.31,broken clouds
87,Hobyo,SO,5.3505,48.5268,78.3,65,6,18.86,clear sky
88,Aleksin,RU,54.51,37.08,22.03,97,65,5.88,broken clouds
89,Alpena,US,45.0617,-83.4327,36.18,79,0,21.85,clear sky
90,Ponta Do Sol,PT,32.6667,-17.1,64.71,73,38,19.44,scattered clouds
91,Glendive,US,47.1053,-104.7125,16.48,86,100,25.32,mist
92,Svetlogorsk,BY,52.6333,29.7333,24.57,95,100,19.33,snow
93,Hithadhoo,MV,-0.6,73.0833,81.7,73,76,12.26,broken clouds
94,Tucumcari,US,35.1717,-103.725,29.95,50,0,13.8,clear sky
95,Auki,SB,-8.7676,160.7034,82.9,74,56,2.46,broken clouds
96,Sampit,ID,-2.5333,112.95,85.69,71,36,4.0,scattered clouds
97,Funadhoo,MV,6.15,73.2667,81.01,74,83,7.83,broken clouds
98,Emerald,AU,-23.5333,148.1667,88.34,24,53,9.35,broken clouds
99,Acapulco,MX,16.8634,-99.8901,75.02,88,40,3.44,smoke
100,Acarau,BR,-2.8856,-40.12,79.05,80,89,11.74,overcast clouds
101,Queanbeyan,AU,-35.35,149.2333,68.47,42,63,17.27,broken clouds
102,San Patricio,US,28.017,-97.5169,66.83,37,0,7.9,clear sky
103,Nelson Bay,AU,-32.7167,152.15,71.65,44,4,8.01,clear sky
104,Mount Isa,AU,-20.7333,139.5,91.17,11,83,14.97,broken clouds
105,Langham,CA,52.3668,-106.9679,12.04,96,86,8.34,overcast clouds
106,Kodinar,IN,20.7903,70.7031,83.01,47,89,9.13,overcast clouds
107,Punta Arenas,CL,-53.15,-70.9167,46.51,71,40,9.22,scattered clouds
108,Bengkulu,ID,-3.8004,102.2655,83.75,64,97,7.92,overcast clouds
109,Sinnamary,GF,5.3833,-52.95,76.87,85,51,11.16,broken clouds
110,Mayo,US,38.8876,-76.5119,38.95,68,100,0.0,overcast clouds
111,Tura,IN,25.5198,90.2201,73.65,52,0,2.48,clear sky
112,Paka,MY,4.6374,103.4368,77.38,94,40,0.0,light rain
113,Vernon,CA,50.2581,-119.2691,22.44,81,94,2.3,overcast clouds
114,Berlevag,NO,70.8578,29.0864,21.2,79,100,17.27,overcast clouds
115,Lethem,GY,3.3803,-59.7968,76.69,76,87,12.5,overcast clouds
116,Naze,JP,28.3667,129.4833,59.92,59,80,6.55,broken clouds
117,Oussouye,SN,12.485,-16.5469,69.89,20,12,6.62,few clouds
118,Kavaratti,IN,10.5669,72.642,81.41,74,3,12.03,clear sky
119,Salinopolis,BR,-0.6136,-47.3561,77.58,84,80,7.96,broken clouds
120,Ribeira Grande,PT,38.5167,-28.7,58.6,57,54,14.07,broken clouds
121,Srednekolymsk,RU,67.45,153.6833,-48.84,100,59,2.08,broken clouds
122,Puerto Ayora,EC,-0.7393,-90.3518,70.56,95,92,5.26,overcast clouds
123,Jacareacanga,BR,-6.2222,-57.7528,72.37,98,100,1.68,overcast clouds
124,Martapura,ID,-3.4167,114.85,86.09,66,40,4.61,scattered clouds
125,Zhigansk,RU,66.7697,123.3711,-47.31,99,59,2.77,broken clouds
126,Bambous Virieux,MU,-20.3428,57.7575,80.85,78,75,16.11,light rain
127,Shostka,UA,51.863,33.4698,19.72,90,99,12.75,light snow
128,Mar Del Plata,AR,-38.0023,-57.5575,67.08,71,99,11.99,overcast clouds
129,Luwuk,ID,-0.9516,122.7875,82.36,77,100,2.57,light rain
130,Chake Chake,TZ,-5.2459,39.7666,81.77,73,10,4.92,clear sky
131,Saint George,US,37.1041,-113.5841,37.94,62,0,9.22,clear sky
132,Cherskiy,RU,68.75,161.3,-45.33,100,43,3.96,scattered clouds
133,Na Wa,TH,17.4897,104.1006,73.44,40,9,3.89,clear sky
134,Matay,EG,28.419,30.7792,59.68,53,1,5.26,clear sky
135,Axim,GH,4.8699,-2.2405,77.43,84,2,6.26,light rain
136,Ordubad,AZ,38.9059,46.0234,47.28,78,100,3.87,overcast clouds
137,Muscat,OM,23.6139,58.5922,75.13,45,1,0.98,clear sky
138,Norman Wells,CA,65.282,-126.8329,1.44,85,75,4.61,broken clouds
139,Wageningen,NL,51.9667,5.6667,30.88,93,29,2.3,scattered clouds
140,Olafsvik,IS,64.8945,-23.7142,28.76,56,98,15.41,overcast clouds
141,Buchanan,LR,5.8808,-10.0467,77.02,86,68,2.28,broken clouds
142,Carnarvon,AU,-24.8667,113.6333,76.75,59,0,23.49,clear sky
143,Normandin,CA,48.8333,-72.5321,30.51,74,30,5.75,scattered clouds
144,Kahului,US,20.8947,-156.47,75.85,76,20,4.61,few clouds
145,Erenhot,CN,43.6475,111.9767,4.41,37,4,8.23,clear sky
146,Port Moresby,PG,-9.4431,147.1797,85.42,70,40,11.5,scattered clouds
147,Oranjemund,NA,-28.55,16.4333,66.29,94,25,2.28,scattered clouds
148,Carutapera,BR,-1.195,-46.02,75.27,92,83,5.57,broken clouds
149,Khatanga,RU,71.9667,102.5,-15.09,100,100,6.78,overcast clouds
150,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,14.97,light rain
151,Borogontsy,RU,62.6683,131.1683,-51.36,99,67,3.02,broken clouds
152,Gravdal,NO,68.1214,13.5031,33.69,60,40,18.41,snow
153,Beringovskiy,RU,63.05,179.3167,-7.89,93,42,6.04,scattered clouds
154,Homer,US,59.6425,-151.5483,33.67,93,100,13.0,light snow
155,Marsa Matruh,EG,31.3525,27.2453,57.4,72,0,5.75,clear sky
156,Prattville,US,32.464,-86.4597,67.53,90,100,13.8,overcast clouds
157,Maniitsoq,GL,65.4167,-52.9,22.66,79,100,12.95,light snow
158,Hovd,MN,48.0056,91.6419,5.76,53,4,1.59,clear sky
159,Oktyabrskiy,RU,54.4815,53.471,12.47,83,100,7.7,overcast clouds
160,Zhezkazgan,KZ,47.8043,67.7144,-0.42,85,0,13.42,clear sky
161,Port Elizabeth,ZA,-33.918,25.5701,68.31,94,0,4.0,clear sky
162,Aklavik,CA,68.2191,-135.0107,2.1,88,98,6.96,overcast clouds
163,Voyinka,UA,45.8699,33.9914,36.9,73,100,17.63,overcast clouds
164,Medina Del Campo,ES,41.3124,-4.9141,46.71,86,92,13.47,light rain
165,Souillac,MU,-20.5167,57.5167,80.98,78,75,16.11,broken clouds
166,Severo-Kurilsk,RU,50.6789,156.125,25.79,81,100,49.5,light snow
167,Chardara,KZ,41.2547,67.9692,41.76,62,61,8.75,broken clouds
168,Cabo San Lucas,MX,22.8909,-109.9124,63.61,70,69,2.3,broken clouds
169,Mapiripan,CO,2.8892,-72.1256,71.35,95,60,3.6,light rain
170,Ilulissat,GL,69.2167,-51.1,23.02,74,100,16.11,overcast clouds
171,Ruidoso,US,33.3317,-105.673,30.11,52,0,5.75,clear sky
172,Mossendjo,CG,-2.9506,12.7261,65.68,98,95,1.66,overcast clouds
173,Faanui,PF,-16.4833,-151.75,79.88,77,91,15.9,light rain
174,Sibolga,ID,1.7427,98.7792,84.52,64,58,5.61,broken clouds
175,Khandyga,RU,62.6667,135.6,-55.93,99,92,0.29,overcast clouds
176,Pangnirtung,CA,66.1451,-65.7125,17.13,98,100,0.96,overcast clouds
177,Sao Filipe,CV,14.8961,-24.4956,78.76,54,79,9.15,broken clouds
178,Muravlenko,RU,63.7898,74.523,5.22,80,29,16.04,scattered clouds
179,Iqaluit,CA,63.7506,-68.5145,22.73,80,75,8.05,light snow
180,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,79,0,6.91,clear sky
181,Puerto Cabezas,NI,14.0351,-83.3888,75.2,87,37,5.39,scattered clouds
182,Halifax,CA,44.6453,-63.5724,32.45,86,40,19.57,scattered clouds
183,Kargopol,RU,61.5071,38.9456,16.48,92,100,12.3,overcast clouds
184,Kitgum,UG,3.2783,32.8867,70.45,64,1,1.61,clear sky
185,Riachao Das Neves,BR,-11.7461,-44.91,69.13,97,100,3.85,overcast clouds
186,Cascais,PT,38.6979,-9.4215,57.94,88,88,18.99,overcast clouds
187,Poum,NC,-20.2333,164.0167,80.96,64,0,5.57,clear sky
188,Cap Malheureux,MU,-19.9842,57.6142,78.48,77,28,11.99,light rain
189,Gravina In Puglia,IT,40.8197,16.4228,49.62,96,87,0.36,overcast clouds
190,Tongren,CN,27.7172,109.1853,52.09,32,100,2.06,overcast clouds
191,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.21,83,45,7.0,scattered clouds
192,Rundu,NA,-17.9333,19.7667,68.99,73,72,3.13,light rain
193,Pechenga,RU,69.5259,31.1703,11.03,95,100,5.59,overcast clouds
194,Uglegorsk,RU,49.0833,142.0333,12.52,77,100,15.95,light snow
195,Tynda,RU,55.1667,124.7167,-19.91,86,62,5.44,broken clouds
196,Ajdabiya,LY,30.7554,20.2263,65.19,50,4,10.0,clear sky
197,Bonavista,CA,48.6499,-53.1147,37.63,95,100,32.88,light rain
198,Bam,IR,29.106,58.357,56.25,26,1,2.06,clear sky
199,San Andres,CO,12.5847,-81.7006,82.42,74,20,16.11,light rain
200,Nishihara,JP,26.1842,127.7558,67.28,64,100,14.97,overcast clouds
201,Tiksi,RU,71.6872,128.8694,-30.33,99,60,6.04,broken clouds
202,Teknaf,BD,20.8624,92.3058,78.96,39,2,4.83,clear sky
203,Kaeo,NZ,-35.1,173.7833,74.88,69,89,5.14,overcast clouds
204,Prince Rupert,CA,54.3161,-130.3201,40.69,93,75,4.61,broken clouds
205,Cidreira,BR,-30.1811,-50.2056,69.6,75,0,18.63,clear sky
206,Lavrentiya,RU,65.5833,-171.0,-1.35,95,31,11.48,scattered clouds
207,Wahpeton,US,46.2652,-96.6059,34.52,100,100,8.05,light snow
208,Bereda,ES,43.2686,-7.5406,49.14,100,95,2.62,overcast clouds
209,Tadine,NC,-21.55,167.8833,80.33,61,5,2.84,clear sky
210,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,82,0,6.91,clear sky
211,Bethel,US,41.3712,-73.414,30.94,72,0,4.61,clear sky
212,Valdivia,CL,-39.8142,-73.2459,51.89,99,15,2.46,few clouds
213,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,69,0,20.71,clear sky
214,Rolla,US,37.9514,-91.7713,35.67,76,100,6.91,overcast clouds
215,Jasper,US,37.2001,-94.3502,36.45,66,100,9.22,overcast clouds
216,Taoudenni,ML,22.6783,-3.9836,72.01,28,0,3.56,clear sky
