,City,Country,Max Temp,Latitude,Longitude,Hotel Name
548,Dicabisagan,PH,78.13,17.0818,122.4157,No hotel found
549,Deniliquin,AU,71.2,-35.5333,144.9667,No hotel found
552,Ibra,OM,70.5,22.6906,58.5334,الدكيك
556,Channagiri,IN,76.53,14.0333,75.9333,No hotel found
559,Thinadhoo,MV,81.41,0.5333,72.9333,No hotel found
560,Nioro,GM,70.02,13.35,-15.75,No hotel found
562,Dimbokro,CI,71.64,6.6451,-4.7048,Hôtel Famah
563,Lorengau,PG,79.38,-2.0226,147.2712,Seeadler Bay Hotel
564,Porto Velho,BR,75.25,-8.7619,-63.9039,Hotel Slaviero Essential Porto Velho
566,Kloulklubed,PW,84.7,7.0419,134.2556,The Adventures Inn
567,Guhagar,IN,82.89,17.4842,73.1929,Prestige Deluxe
571,Chor,PK,74.32,25.5167,69.7667,No hotel found
577,Manadhoo,MV,80.85,5.7667,73.3833,No hotel found
578,Ugoofaaru,MV,80.65,5.6667,73.0,No hotel found
581,Nizwa,OM,70.54,22.9333,57.5333,Nizwa Heritage Inn
582,Aquiraz,BR,80.69,-3.9014,-38.3911,Pousada tia Fabíola
586,Voh,NC,83.14,-20.9667,164.7,Le Vook
587,Pringsewu,ID,83.68,-5.3582,104.9744,No hotel found
590,Chechat,IN,72.18,24.7667,75.8833,No hotel found
594,Pandan,PH,81.81,14.0453,124.1694,No hotel found
605,Cordoba,AR,82.99,-31.4135,-64.1811,Hotel Garden
607,Noumea,NC,87.78,-22.2763,166.4572,Hotel Gondwana
608,Camocim,BR,75.88,-2.9022,-40.8411,Hotel Dunas
610,Borba,BR,73.51,-4.3878,-59.5939,No hotel found
614,Papar,MY,87.8,5.7333,115.9333,No hotel found
616,Bantogon,PH,81.19,6.5333,124.0333,No hotel found
617,Monrovia,LR,77.63,6.3005,-10.7969,Bella Casa Hotel
619,Ambulu,ID,84.63,-8.345,113.6058,Hotel Ambulu
620,Panuco,MX,71.78,22.05,-98.1667,Hotel Plaza
625,Kimbe,PG,82.02,-5.5502,150.1429,Kimbe Bay Hotel
626,Bonfim,BR,77.65,3.0833,-59.95,No hotel found
628,Tevaitoa,PF,79.97,-16.7833,-151.5,Chambre d'hote
632,Santa Isabel Do Rio Negro,BR,73.35,-0.4139,-65.0192,Hotel Maikon
636,Oistins,BB,80.69,13.0667,-59.5333,The Abidah By Accra
642,Alofi,NU,78.69,-19.0595,-169.9187,No hotel found
646,Salalah,OM,77.09,17.0151,54.0924,Muscat International Hotel
648,Itarema,BR,79.81,-2.9248,-39.9167,Pousada Oásis
652,Zvishavane,ZW,75.07,-20.3267,30.0665,Zvishavane Panorama Lodge
653,Victoria Point,AU,86.43,-27.5833,153.3,Seminara Appartments
657,Kailua,US,78.78,21.4022,-157.7394,No hotel found
658,Villa Bruzual,VE,73.85,9.3328,-69.1208,Hotel Turístico Sol de Arichuna
661,Saint-Georges,GD,74.88,12.0564,-61.7485,Deyna's City Inn
